ID lat_in lon_in beta_slope inf_CI sup_CI number_of_BRUVS
"44" -12.2463558196497 143.214865093949 -1.04835955920988 -1.06835955920988 -1.02835955920988 20
"45" -12.2521318072435 143.242499484549 -1.15159539624649 -1.17459539624649 -1.12859539624649 19
"46" -13.5037776714835 143.733723972527 -0.996596151769445 -1.01759615176945 -0.975596151769444 20
"47" -11.4545560126781 143.043292096296 -1.02127997206884 -1.03127997206883 -1.01127997206883 20
"48" -11.5400802157633 143.027649559533 -0.988130343306208 -1.00013034330621 -0.976130343306206 20
"49" -11.5994210264602 142.940515678693 -0.962125022530649 -0.976125022530649 -0.94812502253065 20
"50" -10.1904187321646 143.676284461669 -0.996504886044404 -1.00850488604441 -0.984504886044405 15
"51" -12.2422727252078 143.206859800978 -1.14702181440634 -1.16002181440634 -1.13402181440634 19
"52" -13.9865808863815 143.986672188948 -0.952208552734951 -0.966208552734951 -0.938208552734952 18
"53" -11.5978173702214 142.938122324009 -0.991567705834415 -1.00856770583442 -0.974567705834417 18
"54" -13.5126770981573 143.719251294181 -1.06300755209178 -1.08200755209178 -1.04400755209178 19
"55" -13.3833963194028 143.69585579173 -1.00472356461776 -1.02272356461776 -0.986723564617758 10
"56" -11.5490119798348 142.997596689018 -0.964673453251448 -0.979673453251451 -0.949673453251449 20
"57" -12.2466990181458 143.274646233221 -0.998641101807749 -1.00964110180775 -0.98764110180775 18
"58" -13.6452434289986 143.733365912378 -1.03961804703943 -1.05961804703943 -1.01961804703943 18
"59" -11.48480684158 143.028095680667 -0.995028514344345 -1.00702851434434 -0.983028514344344 17
"60" -13.5003977829142 143.739232112808 -1.04283637801626 -1.05783637801626 -1.02783637801626 19
"61" -13.5121471206321 143.721419457336 -1.0680933591612 -1.0960933591612 -1.0400933591612 19
"62" -13.5386672690385 143.755131048077 -1.02985898129515 -1.06285898129515 -0.996858981295151 13
"63" -12.2265391300957 143.271473636364 -1.05821306270668 -1.06821306270668 -1.04821306270668 17
"64" -14.0404400610625 143.942474810625 -1.07793086070921 -1.08993086070921 -1.06593086070921 19
"65" -13.5315775575 143.77034121978 -1.00500784852164 -1.03600784852164 -0.974007848521641 18
"66" -14.0668947452257 144.014800097127 -0.994831199043075 -1.01283119904307 -0.976831199043072 19
"67" -12.2468997547834 143.233784160237 -1.02300652942489 -1.03600652942488 -1.01000652942489 19
"68" -13.5118346835294 143.716562114706 -1.02824231532242 -1.05824231532242 -0.998242315322418 18
"69" -14.4026729864576 144.906878688525 -1.05121765321913 -1.06321765321913 -1.04021765321913 19
"70" -13.9103884579638 143.907622782805 -1.07932425214681 -1.1163242521468 -1.04232425214681 16
"71" -14.0766640796495 125.68130305258 -1.02075249362579 -1.03675249362579 -1.00475249362579 18
"72" -13.930249004837 125.63141888963 -0.993560168303501 -1.0085601683035 -0.978560168303499 15
"73" -13.8641954662123 125.818029849075 -1.02892859303786 -1.04592859303786 -1.01192859303786 17
"74" -13.8686154842919 125.757095376906 -1.12101436400897 -1.15001436400897 -1.09201436400897 15
"75" -13.5780470717347 125.957120251701 -1.14077732423545 -1.17977732423545 -1.10277732423545 9
