"key" "Exped" "Date" "mean_lat" "mean_long" "mean_maxsize" "std_maxsize" "cv_maxsize" "median_maxsize" "string_number" "mean_meansize" "std_meansize" "cv_meansize" "median_meansize" "mean_mediansize" "std_mediansize" "cv_mediansize" "median_mediansize" "excess_mass" "modes_p_value" "unimode" "first_mode" "second_mode" "betaslope" "betaslope_ci_inf" "betaslope_ci_sup"
"Cocos 2016__2016-11-17" "Cocos 2016" "2016-11-17" -12.08031661 96.7736764381284 39.5803050474742 45.8311497460051 1.1579281587404 39.5803050474742 2 0.326901700227854 0.250601931382424 0.766597210133052 0.326901700227854 0.0881733386245958 0.119801711399333 1.35870676179562 0.0881733386245958 0.114480446632888 0 0.0299327891793411 0.019636548827032 71.9866706166909 -1.11687354607922 -1.13740354607922 -1.09669354607922
"Cocos 2016__2016-11-18" "Cocos 2016" "2016-11-18" -12.0958775531897 96.8202683683621 21.1248179421515 20.5874150132513 0.974560588859424 21.1248179421515 2 3.48475309033435 3.90186225698453 1.11969547220063 3.48475309033435 0.840030786657851 1.18679351642445 1.41279764417472 0.840030786657851 0.129112217429253 0 1.18050606534086 1.16375173703883 18.8667320588653 -1.01440576162076 -1.06204576162076 -0.966955761620761
"Cocos 2016__2016-11-19" "Cocos 2016" "2016-11-19" -12.1116490332567 96.798693519387 126.500819544875 NA NA 126.500819544875 1 1.29950252797094 NA NA 1.29950252797094 0.000841819440845329 NA NA 0.000841819440845329 0.335312859820697 0 0.126456849865335 0.0253777611645525 126.49863285282 -1.72844199391745 -1.82065199391745 -1.64324199391745
"Cocos 2016__2016-11-20" "Cocos 2016" "2016-11-20" -12.1240605859375 96.8184006315625 221.619868613189 26.7015279927077 0.120483457371379 221.619868613189 2 26.9838510086182 4.93949589086847 0.183053778694927 26.9838510086182 0.00488026403626313 0.00145105248182824 0.297330732732102 0.00488026403626313 0.157976818957588 0.006 2.75142679131105 0.383793826288588 203.540315734341 -1.10878447181918 -1.20165447181918 -1.02139447181918
"Cocos 2016__2016-11-21" "Cocos 2016" "2016-11-21" -12.1997127958824 96.8128237632353 66.4407202099181 NA NA 66.4407202099181 1 14.9552083588825 NA NA 14.9552083588825 5.93668581523333 NA NA 5.93668581523333 0.258375605534957 0 3.97761845045198 2.44189156586428 66.4415080660303 -0.872066115579854 -0.949466115579854 -0.788396115579854
"FNQ Jun 2017__2017-06-07" "FNQ Jun 2017" "2017-06-07" -12.1874185763636 143.322090363636 83.5722244729174 66.660274987591 0.79763671971174 83.5722244729174 2 16.1551458121646 14.1774466527905 0.877580853656864 16.1551458121646 3.27316131833712 1.74776876430816 0.533969638012247 3.27316131833712 0.133279697689941 0.272 5.40907617995693 NA NA -0.944249125768722 -1.05932912576872 -0.825229125768722
"FNQ Jun 2017__2017-06-08" "FNQ Jun 2017" "2017-06-08" -11.907597985 143.3107084 24.0606212868171 2.68915807809492 0.111765945111663 24.0606212868171 2 9.29617863801943 2.04031278551678 0.219478655151089 9.29617863801943 5.23989301380987 7.33541837932937 1.39991758610275 5.23989301380987 NA NA NA NA NA NA NA NA
"FNQ Jun 2017__2017-06-11" "FNQ Jun 2017" "2017-06-11" -11.5005443610345 143.224220482759 35.1828143279132 35.010267040146 0.995095693989712 35.1828143279132 2 8.70136255131348 6.86545468974345 0.789009152216867 8.70136255131348 7.11746272181421 4.06288348463915 0.57083312458903 7.11746272181421 0.130598813060639 0.128 7.01296977177676 NA NA -0.725368268559072 -0.859658268559072 -0.574148268559072
"FNQ Jun 2017__2017-06-12" "FNQ Jun 2017" "2017-06-12" -11.2528601403571 143.084547071429 14.240256646795 4.98400482527765 0.349994030929167 14.240256646795 2 4.64371639877479 0.0324253902457125 0.0069826379264392 4.64371639877479 5.16584425005014 0.688222085885072 0.133225481174426 5.16584425005014 0.282741816450904 0 5.66002289761544 0.647952020606923 6.01970658994435 -0.805449484961077 -0.976319484961077 -0.623399484961077
"FNQ Jun 2017__2017-06-13" "FNQ Jun 2017" "2017-06-13" -9.91896021486842 143.404391684211 51.1643539667922 45.9973176072902 0.899011011399544 51.1643539667922 2 8.90824984150202 1.92123649455662 0.215669354670084 8.90824984150202 3.74073011700486 5.20540849744549 1.39154879786232 3.74073011700486 0.105609446268529 0.198 4.18994810480698 NA NA -0.967186254057153 -1.07760625405715 -0.855436254057153
"FNQ Jun 2017__2017-06-15" "FNQ Jun 2017" "2017-06-15" -9.88515304352381 143.447583428571 48.6312768971525 44.133643986913 0.90751563197176 48.6312768971525 2 8.50020440270931 1.17538464684598 0.138277221483208 8.50020440270931 3.7666572199428 3.75899196537764 0.997964971560306 3.7666572199428 0.18076113164275 0.036 4.79102182665188 3.87657709346883 79.8390016834962 -0.89099150148018 -1.01356150148018 -0.76013150148018
"FNQ Jun 2017__2017-06-16" "FNQ Jun 2017" "2017-06-16" -10.71660963275 143.93823765 50.9987876064426 40.7854782327714 0.799734271087242 50.9987876064426 2 9.22897940964664 3.70980059828826 0.401973006290443 9.22897940964664 7.17149129953859 1.59869717652295 0.222923951204656 7.17149129953859 0.128404687245332 0.032 7.23495300976602 1.73918929461082 79.8398218407235 -0.896786765175656 -0.995236765175656 -0.794266765175656
"FNQ Jun 2017__2017-06-18" "FNQ Jun 2017" "2017-06-18" -10.6742184972 143.9149002 65.9041965307687 25.0105664090731 0.379498844165355 65.9041965307687 2 17.3416179582137 1.19161067866491 0.0687139274741386 17.3416179582137 9.92826762183233 3.57664897827673 0.360249049936129 9.92826762183233 0.118607897732658 0.416 10.7013828312418 NA NA -0.673944035320588 -0.843564035320588 -0.480934035320588
"FNQ Nov 2017__2017-11-28" "FNQ Nov 2017" "2017-11-28" -10.0209736430834 143.613566494192 35.7836927192532 26.5149790118176 0.740979395833884 35.7836927192532 2 0.45831863704744 0.575451606241211 1.25557103666645 0.45831863704744 0.000481608396132398 0.000118228948612037 0.245487723140804 0.000481608396132398 0.184502141340989 0 0.00277833192464172 0.00534750628356662 33.5402795000377 -1.37757775668949 -1.40386775668949 -1.35215775668949
"FNQ Nov 2017__2017-11-29" "FNQ Nov 2017" "2017-11-29" -10.0198748201439 143.728154748201 41.8215967383202 7.4992868759424 0.179316129961891 41.8215967383202 2 0.887162878144045 0.705439167499982 0.795163080961828 0.887162878144045 0.00121334665278215 0.000225920204415711 0.186195926693897 0.00121334665278215 0.146038212162634 0 0.125708169710236 0.0802628350750343 38.0853277575758 -1.58111341110353 -1.63986341110353 -1.52565341110353
"FNQ Nov 2017__2017-11-30" "FNQ Nov 2017" "2017-11-30" -10.2498165608696 143.690246 151.225290641233 NA NA 151.225290641233 1 1.08824887936876 NA NA 1.08824887936876 0.00130562818337906 NA NA 0.00130562818337906 0.303022790331811 0 0.624296804598856 0.230619749331513 151.225420778696 -1.37932738349588 -1.42243738349588 -1.33842738349588
"FNQ Nov 2017__2017-12-01" "FNQ Nov 2017" "2017-12-01" -11.5942884820028 143.140930521862 9.00600600038184 4.58400675442302 0.508994414863666 9.00600600038184 2 0.662138591693143 0.902414570567582 1.36287868112329 0.662138591693143 0.00211688358717774 0.000284890011750954 0.134579914302597 0.00211688358717774 0.357558168006044 0 0.00460783482990568 0.0036035618643675 12.2433321664833 -1.31819924109079 -1.34828924109079 -1.28895924109079
"FNQ Nov 2017__2017-12-02" "FNQ Nov 2017" "2017-12-02" -11.5397321364039 143.266278389163 43.3363992504814 4.33022843898517 0.099921278968212 43.3363992504814 2 2.12426574383345 0.912111540739442 0.429377324088202 2.12426574383345 0.125820886718778 0.00837255168028097 0.0665434165870606 0.125820886718778 0.147454835748151 0 0.200007446794636 0.150102541344737 38.2470734412157 -0.983936242440844 -1.02145624244084 -0.946286242440844
"FNQ Nov 2017__2017-12-03" "FNQ Nov 2017" "2017-12-03" -11.622496857767 143.103120789644 102.445316655892 113.931001766238 1.11211527754778 102.445316655892 2 1.75156413845327 0.241674257238165 0.137976253299851 1.75156413845327 0.0912430268034213 0.122176049987826 1.33901794217161 0.0912430268034213 0.168489296820075 0 1.09710949348026 0.617180855536859 183.005449980332 -1.05044129155161 -1.07756129155161 -1.02357129155161
"FNQ Nov 2017__2017-12-04" "FNQ Nov 2017" "2017-12-04" -12.1747223439535 143.310792162791 18.9280570419997 1.43236894904915 0.075674378298356 18.9280570419997 2 2.28288740202092 0.905519173004165 0.396655206122981 2.28288740202092 0.106704991477307 0.00115068809072181 0.01078382627458 0.106704991477307 0.0808569710313303 0 0.198314199683423 0.11423273692252 14.4268383025234 -0.886322121704167 -0.932822121704167 -0.838412121704167
"FNQ Nov 2017__2017-12-05" "FNQ Nov 2017" "2017-12-05" -12.1831498187654 143.326752925926 18.9345816715329 6.1669216600635 0.32569621906858 18.9345816715329 2 4.06310782709663 2.51449165970711 0.61885920007786 4.06310782709663 0.239038166246918 0.164755839527499 0.689244910611106 0.239038166246918 0.150423323701586 0 0.223750215832714 0.123172437671278 22.7719580205658 -0.872429890795607 -0.931739890795607 -0.810559890795607
"FNQ Nov 2017__2017-12-06" "FNQ Nov 2017" "2017-12-06" -13.4748022528351 143.893303778351 118.288707583219 17.7403859023437 0.1499753126465 118.288707583219 2 19.5188362288197 22.2775261422156 1.14133475382731 19.5188362288197 0.03480091436157 0.0477616481697129 1.3724250941652 0.03480091436157 0.122416548219055 0 1.32842202644095 0.601857418029262 125.078448648736 -1.16564557673466 -1.20871557673466 -1.12400557673466
"French Polynesia 2013__2013-06-06" "French Polynesia 2013" "2013-06-06" -21.5138888888889 -135.657685185185 0.606110394894086 NA NA 0.606110394894086 1 0.0602193310405024 NA NA 0.0602193310405024 0.0125513341941381 NA NA 0.0125513341941381 NA NA NA NA NA NA NA NA
"French Polynesia 2013__2013-06-07" "French Polynesia 2013" "2013-06-07" -21.8483333333333 -135.574166666667 0.606110394894086 NA NA 0.606110394894086 1 0.310129063584444 NA NA 0.310129063584444 0.310129063584444 NA NA 0.310129063584444 NA NA NA NA NA NA NA NA
"French Polynesia 2013__2013-06-09" "French Polynesia 2013" "2013-06-09" -21.5919444444444 -136.3975 0.0125513341941381 NA NA 0.0125513341941381 1 0.0125513341941381 NA NA 0.0125513341941381 0.0125513341941381 NA NA 0.0125513341941381 NA NA NA NA NA NA NA NA
"French Polynesia 2013__2013-06-10" "French Polynesia 2013" "2013-06-10" -21.5036419753086 -136.651635802469 0.0141477322748016 NA NA 0.0141477322748016 1 0.0126400229763972 NA NA 0.0126400229763972 0.0125513341941381 NA NA 0.0125513341941381 NA NA NA NA NA NA NA NA
"French Polynesia 2013__2013-06-12" "French Polynesia 2013" "2013-06-12" -22.0005555555556 -136.382777777778 0.0170669616841989 NA NA 0.0170669616841989 1 0.00942337330327455 NA NA 0.00942337330327455 0.00942337330327455 NA NA 0.00942337330327455 NA NA NA NA NA NA NA NA
"French Polynesia 2013__2013-06-13" "French Polynesia 2013" "2013-06-13" -19.7857222222223 -140.646111111111 0.606110394894086 NA NA 0.606110394894086 1 0.367435586257761 NA NA 0.367435586257761 0.606110394894086 NA NA 0.606110394894086 NA NA NA NA NA NA NA NA
"French Polynesia 2013__2013-06-14" "French Polynesia 2013" "2013-06-14" -19.2570555555556 -140.850222222222 0.606110394894086 NA NA 0.606110394894086 1 0.100156023614008 NA NA 0.100156023614008 0.0125513341941381 NA NA 0.0125513341941381 0.149844752369389 0.174 0.0116512085343082 NA NA -1.21803752896354 -1.50026752896354 -0.953137528963535
"French Polynesia 2013__2013-06-15" "French Polynesia 2013" "2013-06-15" -18.9758333333333 -141.973055555556 19.0430267458944 NA NA 19.0430267458944 1 2.24555653850387 NA NA 2.24555653850387 0.00364541197880671 NA NA 0.00364541197880671 0.120714592492322 0.55 0.100503923388327 NA NA -1.31491155213869 -1.52899155213869 -1.12885155213869
"Galapagos 2019__2019-11-13" "Galapagos 2019" "2019-11-13" -0.733241072953924 -89.493282360858 9.3093569240046 17.74912933498 1.90659027039913 0.462972879412277 4 0.390913203451099 0.636488578060483 1.62820946553192 0.096867509264752 0.0657816107030058 0.12567983573818 1.91056184844128 0.00356498580624597 0.12249879232656 0 0.0978114879492651 0.0978290559972965 35.9326950734377 -1.22444304423785 -1.28885304423785 -1.16346304423785
"Galapagos 2019__2019-11-14" "Galapagos 2019" "2019-11-14" -0.777446578844989 -89.5506599790563 21.6646289655871 42.151426631433 1.94563344234456 0.680124158946633 4 1.04740623621002 1.68640636706106 1.61007860060412 0.259609582489677 0.117156335144091 0.155591587826033 1.32806806934231 0.0665541744495615 0.157056927625112 0 0.134726742929168 0.131662917202213 84.8918829225475 -1.31606567027145 -1.40998567027145 -1.22999567027145
"Galapagos 2019__2019-11-15" "Galapagos 2019" "2019-11-15" -0.741832210017102 -89.5589253061583 0.204635642057137 0.34231672159334 1.67281084640065 0.0460650063938585 4 0.0124837528473567 0.0100923144595531 0.808435939332943 0.0115587698873488 0.00299291622118979 0.00101333396503811 0.338577457619337 0.00318027926005805 0.157938997608265 0 0.00669984048948707 0.00494437324090111 0.687614899292222 -1.55165966162061 -1.62855966162061 -1.47810966162061
"Galapagos 2019__2019-11-16" "Galapagos 2019" "2019-11-16" -0.79390384497181 -89.5043897757967 88.197394291931 43.1008187051967 0.48868585122293 97.3092115433913 3 13.1867825258871 2.70144986222838 0.204860424210767 13.4877714626882 0.352980120603387 0.154103755444284 0.436579134204097 0.377139874655837 0.169888731576404 0.002 2.18666933553131 0.455844729668577 110.216356950968 -1.09976558518946 -1.21101558518946 -0.993605585189457
"Galapagos 2019__2019-11-21" "Galapagos 2019" "2019-11-21" -0.73124878462404 -89.5206286797299 82.977147135978 115.531908645222 1.39233406585906 40.5056833553489 4 8.27631606163506 10.350794460121 1.25065238966672 5.43666221354914 0.0154755893524042 0.0169992524930465 1.09845590406582 0.00705694907930911 0.103029351919978 0.006 2.56848049912566 0.441517462726438 250.057244453948 -1.17444888560976 -1.23234888560976 -1.11952888560976
"Galapagos 2019__2019-11-23" "Galapagos 2019" "2019-11-23" -0.772444448185138 -89.5674262026627 231.825310450694 462.514256793445 1.99509818791687 24.8217147540701 5 11.3745068808168 23.1147152841284 2.03215097817661 0.528768736450485 0.104908720261301 0.147656865800007 1.40747943004387 0.00939527592876071 0.311514442560028 0 1.13290361850318 0.56011648408122 1057.28043215305 -1.21809150101288 -1.24837150101288 -1.18885150101288
"Galapagos 2019__2019-11-24" "Galapagos 2019" "2019-11-24" -0.715550344098851 -89.2365438389806 62.3606063848247 37.3540885902437 0.599001368904805 56.3159625646903 6 4.82692677214342 6.31153392059326 1.30756777936173 2.47447416540707 0.30243204510915 0.338441802682085 1.11906726868159 0.24480529715015 0.193400226591233 0 0.951806058202386 0.925080374514799 125.466852944324 -0.932917726180955 -0.944447726180955 -0.921337726180955
"Galapagos 2019__2019-11-25" "Galapagos 2019" "2019-11-25" -0.671589895256705 -89.2913728857773 63.5462513767351 61.6371483652646 0.969957267815024 58.5660165168058 5 4.0768714475238 6.7299351559508 1.65075971675251 1.59164996074643 1.17630661732837 2.61669711211262 2.22450258594624 0.00493050366493408 0.161246017324355 0 0.327657471803768 0.254630546930422 146.935074702954 -1.52590991245394 -1.58325991245394 -1.47177991245394
"Galapagos 2019__2019-11-27" "Galapagos 2019" "2019-11-27" -0.717831917419405 -89.4997167154522 15.4712798931683 12.0623766224547 0.779662491128552 15.1980589672091 6 2.68496915918649 2.6610702799822 0.991099011650649 2.25907659811125 0.322878367285243 0.451568648783712 1.39857201515387 0.178993647588334 0.127549240437642 0 0.0551670031454439 0.0373606149859125 35.8025512605462 -1.18753564944809 -1.21578564944809 -1.15992564944809
"Galapagos 2019__2019-11-28" "Galapagos 2019" "2019-11-28" -0.69262442595015 -89.2504549148802 79.4580591131794 107.80774049721 1.35678799231239 44.3087207979385 4 1.64192775106475 1.9538893518878 1.18999715463774 1.1782948948332 0.0701201371293838 0.12043517044318 1.71755469075819 0.0126808767887225 0.171111111111073 0 0.959699990405298 0.955168083600924 226.497935351477 -0.984304700236555 -0.998334700236555 -0.970254700236555
"Galapagos 2019__2019-11-29" "Galapagos 2019" "2019-11-29" -0.752995741170119 -89.3761110991951 26.9525918166147 17.9606511003665 0.666379367986971 35.932917366798 4 3.65527185889071 2.46632724937031 0.674731550642796 4.60322159505589 0.0498393340349925 0.0841304243596182 1.68803267516676 0.0104460549392743 0.117540080267947 0 0.681652875954633 0.107835399966088 35.9331539907461 -1.21396527539505 -1.30488527539505 -1.12836527539505
"Gambier 2013__2013-06-06" "Gambier 2013" "2013-06-06" -21.5153438333333 -135.65452075 0.0125513341941381 NA NA 0.0125513341941381 1 0.00974415688899355 NA NA 0.00974415688899355 0.0125513341941381 NA NA 0.0125513341941381 NA NA NA NA NA NA NA NA
"Gambier 2013__2013-06-07" "Gambier 2013" "2013-06-07" -21.595467 -135.53878 0.0141477322748016 NA NA 0.0141477322748016 1 0.00727801867539044 NA NA 0.00727801867539044 0.00727801867539044 NA NA 0.00727801867539044 NA NA NA NA NA NA NA NA
"Gambier 2013__2013-06-09" "Gambier 2013" "2013-06-09" -21.461354 -136.342433 0.0125513341941381 NA NA 0.0125513341941381 1 0.0125513341941381 NA NA 0.0125513341941381 0.0125513341941381 NA NA 0.0125513341941381 NA NA NA NA NA NA NA NA
"Gambier 2013__2013-06-10" "Gambier 2013" "2013-06-10" -21.3272114444444 -136.497711 0.0141477322748016 NA NA 0.0141477322748016 1 0.0126400229763972 NA NA 0.0126400229763972 0.0125513341941381 NA NA 0.0125513341941381 NA NA NA NA NA NA NA NA
"Gambier 2013__2013-06-12" "Gambier 2013" "2013-06-12" -20.784542 -138.574208 0.0170669616841989 NA NA 0.0170669616841989 1 0.00942337330327455 NA NA 0.00942337330327455 0.00942337330327455 NA NA 0.00942337330327455 NA NA NA NA NA NA NA NA
"Gambier 2013__2013-06-13" "Gambier 2013" "2013-06-13" -19.610323 -140.4294168 0.0170669616841989 NA NA 0.0170669616841989 1 0.00401433236689739 NA NA 0.00401433236689739 0.00040830507597928 NA NA 0.00040830507597928 NA NA NA NA NA NA NA NA
"Gambier 2013__2013-06-14" "Gambier 2013" "2013-06-14" -19.1221045 -140.72748 0.0125513341941381 NA NA 0.0125513341941381 1 0.00930071014129174 NA NA 0.00930071014129174 0.0125513341941381 NA NA 0.0125513341941381 0.18740734273449 0.048 0.012419442225443 0.000682920633101875 0.012551528689324 0.286249190317141 -0.213750809682859 0.786249190317141
"Gambier 2013__2013-06-15" "Gambier 2013" "2013-06-15" -18.71928612 -141.87329328 19.0430267458944 NA NA 19.0430267458944 1 3.36407324168869 NA NA 3.36407324168869 0.00364541197880671 NA NA 0.00364541197880671 0.119986666118032 0.31 0.286339987764887 NA NA -1.08607792319694 -1.21879792319694 -0.958757923196944
"Geographe Bay 2017__2017-02-04" "Geographe Bay 2017" "2017-02-04" -33.5288394280303 115.193105181818 354.929697440384 442.957017003675 1.24801339588688 354.929697440384 2 14.4982431676913 8.99303856242004 0.620284710251006 14.4982431676913 10.4974162802545 14.6510622073401 1.39568269145414 10.4974162802545 0.0649966618338775 0.05 0.528114239980141 NA NA -1.18875007701349 -1.24418007701349 -1.13575007701349
"Geographe Bay 2017__2017-02-05" "Geographe Bay 2017" "2017-02-05" -33.5829065712871 115.213464330693 0.234786551789412 0.0836763078983384 0.356393103696119 0.234786551789412 2 0.111919127856287 0.0109608083317339 0.0979350763509209 0.111919127856287 0.11135217418358 0.0117626019049133 0.105634236521695 0.11135217418358 0.0770339270497349 0.04 0.102626180473283 0.102931250812868 0.293949336493211 -1.20344347724563 -1.54928347724563 -0.860713477245631
"Geographe Bay 2017__2017-02-06" "Geographe Bay 2017" "2017-02-06" -33.476037997 115.12225136 0.174928970172259 NA NA 0.174928970172259 1 0.0766965854079693 NA NA 0.0766965854079693 0.0646964932690217 NA NA 0.0646964932690217 NA NA NA NA NA NA NA NA
"Geographe Bay 2017__2017-02-07" "Geographe Bay 2017" "2017-02-07" -33.461075 115.2766717 0.000981570181873882 NA NA 0.000981570181873882 1 0.000981570181873882 NA NA 0.000981570181873882 0.000981570181873882 NA NA 0.000981570181873882 NA NA NA NA NA NA NA NA
"Geographe Bay 2017__2017-02-08" "Geographe Bay 2017" "2017-02-08" -33.5093981970833 115.246621504167 212.676314758943 NA NA 212.676314758943 1 8.96045726852409 NA NA 8.96045726852409 0.118659063173256 NA NA 0.118659063173256 0.124788721353965 0.356 0.122520864670747 NA NA -1.08747645170054 -1.19945645170054 -0.981256451700543
"Geographe Bay 2018__2018-02-09" "Geographe Bay 2018" "2018-02-09" -33.4932032384615 115.305135923077 1.59329257788156 3.16756490016866 1.98806229573996 0.0140772322721662 4 0.268133039985811 0.526451768841237 1.96339760616258 0.0071826051034375 0.00378654906110175 0.00675835622723359 1.78483260567266 0.000414756288046094 NA NA NA NA NA NA NA NA
"Geographe Bay 2018__2018-02-10" "Geographe Bay 2018" "2018-02-10" -33.4025543217143 115.190702728571 3.25316120090091 4.33169330899376 1.33153355812622 1.02160801843472 6 0.644443363254245 0.708546277251447 1.09947020584323 0.595743377473662 0.325457904101147 0.796376566386038 2.44694185131401 0.000379864498537679 0.204566933824555 0 0.581339094878157 0.0572491920827547 8.73754126831383 -1.10213644859057 -1.17676644859057 -1.02980644859057
"Geographe Bay 2018__2018-02-11" "Geographe Bay 2018" "2018-02-11" -33.4681738529167 115.139201916667 0.930882445229003 1.61113364295037 1.73075950804296 0.000801848360253055 3 0.059796897494296 0.102559524486496 1.7151311988432 0.000796335389033934 0.000656930434774467 0.000201657376319468 0.306969148702479 0.000748753161467507 0.192425252484932 0 0.00307481287848121 0.00268501961678946 2.79130619645422 -1.46536542568116 -1.62292542568116 -1.32790542568116
"Geographe Bay 2018__2018-02-12" "Geographe Bay 2018" "2018-02-12" -33.469725 115.374386666667 15.7908629357467 22.084633911831 1.3985704265621 6.34460192020363 3 5.98448075157991 8.59864775604362 1.43682436505014 2.11503731605937 4.77823660056413 8.27544112151136 1.73190275268796 0.000408441396649801 NA NA NA NA NA NA NA NA
"Geographe Bay 2018__2018-02-13" "Geographe Bay 2018" "2018-02-13" -33.3821873333333 115.367586666667 13.3376773167302 4.64867113239761 0.34853678208023 13.3376773167302 2 4.36603384256057 4.88220676297468 1.11822467232901 4.36603384256057 3.66211448191918 5.17885000719101 1.41416933652958 3.66211448191918 NA NA NA NA NA NA NA NA
