"key" "Exped." "Year" "Month" "Date.x" "Bathymetry" "Slope" "distPort" "distCoast" "FE_DriftingLongline" "FE_OtherFishing" "FE_Trawlers" "FE_FixedGear" "FE_PurseSeine" "TERRITORY1" "RuleofLaw_mean" "NoViolence_mean" "GovernmentEffectiveness_mean" "Voice_mean" "Corruption_mean" "distSeamounts" "MarineEcosystemDependency" "conflicts" "HDI_mean" "SST_mean" "sst_week" "CHL" "SST_sd" "PP" "protection" "distCoralReef" "distMarket" "TravelTime_market" "mean_lat" "mean_long" "mean_maxsize" "std_maxsize" "cv_maxsize" "median_maxsize" "string_number" "mean_meansize" "std_meansize" "cv_meansize" "median_meansize" "mean_mediansize" "std_mediansize" "cv_mediansize" "median_mediansize" "excess_mass" "modes_p_value" "unimode" "first_mode" "second_mode" "betaslope" "betaslope_ci_inf" "betaslope_ci_sup" "bruvs_type"
"135" "Dampier (Pluto)_2008__2008-08-04" "Dampier (Pluto)_2008" 2008 8 "2008-08-04" -14.6952380952381 87.9941438947405 3.94577701318832 3406.34179899029 0 NA 0 NA NA "Australia" 1.77 0.97 1.62 1.41 1.89 479981.177022984 0.095532 1 0.932 26.3815392993745 23.2887496948242 1.1327105874107 0.35855487982432 1121.52094668434 NA 15426.7442487755 1321549.18376717 3964.6475513015 -20.4544824365839 116.727165783513 9.46535858897921 16.7035487679295 1.76470321867974 4.2732422283762 42 0.273836909264278 0.435957770205991 1.59203436591979 0.180774884155328 0.273836909264278 0.435957770205991 1.59203436591979 0.180774884155328 0.0661180461711224 0 0.502685388726967 0.490245009765701 90.128350945862 -1.08637930962149 -1.09940930962149 -1.07340930962149 "benthic"
"136" "Dampier (Pluto)_2008__2008-08-07" "Dampier (Pluto)_2008" 2008 8 "2008-08-07" -15.8434782608696 89.8810006846552 4.58853201244188 2644.20607471673 0 NA 0 NA NA "Australia" 1.77 0.97 1.62 1.41 1.89 475029.406332734 0.095532 1 0.932 26.436405264813 23.031665802002 0.993656002956888 0.343002816905146 1043.96971594769 NA 25576.4142960312 1324737.93111382 3974.21379334145 -20.3983413086629 116.788112169934 9.61367175381642 18.0136549398259 1.87375389977039 2.72345925755231 23 0.184927494545994 0.256870542106239 1.38903380882799 0.0905973084848759 0.184927494545994 0.256870542106239 1.38903380882799 0.0905973084848759 0.130566873639082 0 0.30609660277328 0.29217254099057 78.3668018052857 -1.09551349009945 -1.11299349009945 -1.07815349009945 "benthic"
"137" "Dampier (Pluto)_2008__2008-08-08" "Dampier (Pluto)_2008" 2008 8 "2008-08-08" -19.1423076923077 89.8518565251277 3.51136158521359 4279.54538571751 0 NA 0 NA NA "Australia" 1.77 0.97 1.62 1.41 1.89 475278.618990091 0.095532 1 0.932 26.4181657937857 22.9983329772949 0.999465227127075 0.369582129212526 1049.77109703651 NA 10123.317605878 1321999.54976251 3965.99864928753 -20.4271767884666 116.682719226232 12.2889988215204 38.2154026221579 3.10972465513101 2.23602296850745 26 0.401369652113295 0.820981246250734 2.04544923097224 0.219129285765373 0.401369652113295 0.820981246250734 2.04544923097224 0.219129285765373 0.111488717680561 0 0.517374182926403 0.501211724552967 191.99886323238 -1.10159494599043 -1.11722494599043 -1.08608494599043 "benthic"
"138" "Dampier (Pluto)_2008__2008-08-09" "Dampier (Pluto)_2008" 2008 8 "2008-08-09" -15.475 87.3229184831892 3.47679540089199 3295.12444738133 0 NA 1.56903553009033 NA 0 "Australia" 1.77 0.97 1.62 1.41 1.89 477086.640337129 0.095532 1 0.932 26.2625228336879 22.3599987030029 1.05870179619108 0.362924830189773 1082.12754603795 NA 6457.44103149415 1312758.26869186 3938.27480607558 -20.4556065167587 116.653775817787 4.18336758385917 4.54702290732296 1.08692884767451 2.81783257120818 28 0.251776559003889 0.253140287730849 1.00541642451686 0.226017899715763 0.251776559003889 0.253140287730849 1.00541642451686 0.226017899715763 0.11084999212698 0 0.418147824379115 0.2907488579997 22.9455027494106 -1.00763640207946 -1.02715640207946 -0.988126402079456 "benthic"
"139" "Dampier (Pluto)_2008__2008-08-10" "Dampier (Pluto)_2008" 2008 8 "2008-08-10" -13.3821428571429 86.9128821236747 3.73198272500719 3528.88915353767 0 NA 0 NA 0.142277777194977 "Australia" 1.77 0.97 1.62 1.41 1.89 482018.520188356 0.095532 1 0.932 26.2884156363351 22.9858322143555 1.12577243362154 0.380920528301171 1123.52293395996 NA 11531.4644601378 1320613.86060102 3961.84158180307 -20.5071757984622 116.697120835376 26.2139345008152 82.6792419636107 3.15401878955025 2.84173099335709 28 0.107941125098772 0.118783818111129 1.10045006481483 0.0462470736979043 0.107941125098772 0.118783818111129 1.10045006481483 0.0462470736979043 0.0844151323493015 0 0.332914568498495 0.274874499894679 430.805538484612 -1.18392126176859 -1.19731126176859 -1.17068126176859 "benthic"
"140" "Dampier (Pluto)_2008__2008-08-11" "Dampier (Pluto)_2008" 2008 8 "2008-08-11" -24.8034482758621 89.5301763600317 2.7326196267687 5686.20464092055 0 NA 0 0 0 "Australia" 1.77 0.97 1.62 1.41 1.89 473021.211243903 0.095532 1 0.932 26.4518385262325 23.1099987030029 0.855680868543428 0.364881155819728 952.140460836476 NA 10826.541139519 1325368.48573261 3976.10545719784 -20.4132917576006 116.709121894837 39.6450460011829 87.0613083865652 2.19601986043773 2.94487344201721 29 0.266744159502548 0.28239017077073 1.05865549707765 0.258166237462588 0.266744159502548 0.28239017077073 1.05865549707765 0.258166237462588 0.0529243096529436 0 0.810707797757004 0.610945264590782 430.810902663585 -1.11178487061237 -1.12612487061237 -1.09755487061237 "benthic"
"141" "Dampier (Pluto)_2008__2008-08-12" "Dampier (Pluto)_2008" 2008 8 "2008-08-12" -13.765 86.2838081359863 2.88810283541679 1504.08485096157 NA NA 0 NA NA "Australia" 1.77 0.97 1.62 1.41 1.89 487213.192171789 0.095532 1 0.932 26.3275660514832 22.3249988555908 1.31355492472649 0.374719567596912 1226.49714355469 NA 20052.4789757266 1311291.07046822 3933.87321140467 -20.5371704023634 116.719283113673 37.2154967345961 97.5549158241375 2.62135197387944 2.28953169949203 20 0.273673390526015 0.309971062431767 1.13263135241605 0.175977269987237 0.273673390526015 0.309971062431767 1.13263135241605 0.175977269987237 0.0918867041820002 0 0.640520222299983 0.365176733285637 430.801040191861 -1.13396925171535 -1.15708925171535 -1.11120925171535 "benthic"
"142" "Dampier (Pluto)_2008__2008-08-13" "Dampier (Pluto)_2008" 2008 8 "2008-08-13" -14.5535714285714 86.797679901123 2.26141176053456 3022.79350497413 0 NA 0 0 NA "Australia" 1.77 0.97 1.62 1.41 1.89 485381.794399648 0.095532 1 0.932 26.3460591179984 22.765998840332 1.25146988885743 0.370102223541055 1183.95058114188 NA 18119.7031135575 1319771.42906489 3959.31428719468 -20.5148579266093 116.71829740991 4.03507593248798 6.60096820608942 1.63589689922374 2.02312751155374 28 0.191364207452148 0.282484423921671 1.47616123037172 0.0845980380123887 0.191364207452148 0.282484423921671 1.47616123037172 0.0845980380123887 0.129772962243014 0 0.345228021626074 0.299325626447507 33.0115552137293 -1.05495251434685 -1.07421251434685 -1.03576251434685 "benthic"
"143" "Dampier (Pluto)_2008__2008-08-14" "Dampier (Pluto)_2008" 2008 8 "2008-08-14" -16.99375 89.3605852127075 2.92918744683266 3184.17664652885 NA NA 0 0 NA "Australia" 1.77 0.97 1.62 1.41 1.89 481913.134679508 0.095532 1 0.932 26.3219995498657 23.0129985809326 1.06113889068365 0.377662187442183 1088.87596893311 NA 10951.0398000631 1321707.28723288 3965.12186169865 -20.4931119278694 116.691597453353 18.2510453320657 47.0326302239815 2.57698281760052 3.19175120862638 16 0.103196232392421 0.0757617240228987 0.734152035074322 0.099239888680343 0.103196232392421 0.0757617240228987 0.734152035074322 0.099239888680343 0.0659981837367867 0 0.491750310340478 0.426666077137135 191.99742813371 -1.13067030568832 -1.15413030568832 -1.10753030568832 "benthic"
"144" "Dampier (Pluto)_2008__2008-08-15" "Dampier (Pluto)_2008" 2008 8 "2008-08-15" -12.2833333333333 89.6833118862576 4.64310029480192 1777.13600428241 0 NA 0 NA NA "Australia" 1.77 0.97 1.62 1.41 1.89 478546.572792874 0.095532 1 0.932 26.4947588708666 23.1770000457764 1.21646377775404 0.360106171005302 1162.94757758247 NA 20192.8721707675 1322663.3135935 3967.9899407805 -20.4266299170711 116.787816396998 5.74901420893939 9.27173427731529 1.61275201979815 2.92005217906472 36 0.189879223853445 0.121362874496663 0.639158260886585 0.179770072892099 0.189879223853445 0.121362874496663 0.639158260886585 0.179770072892099 0.125172648025819 0 0.263433316214225 0.221701458595609 41.8418274419649 -1.10193713789087 -1.11486713789087 -1.08905713789087 "benthic"
