"Exped" "Date" "mean_lat" "mean_long" "excess_mass" "p_value" "unimode" "bimode1" "bimode2"
"23" "Exmouth to Dampier Shallow_2014" "2014-05-12" -21.5595488911908 114.728338090219 0.0297691373020287 0 0.351136495673643 0.348271850308151 149.539573633145
"24" "Exmouth to Dampier Shallow_2014" "2014-05-11" -21.4614133733584 114.932258158366 0.0657216522088435 0 0.332716144432197 0.318732480552313 636.873679435703
"25" "Exmouth to Dampier Shallow_2014" "2014-05-13" -21.6488197600109 114.493074854634 0.0743371722377579 0 0.341150944331574 0.325336087861203 163.655023046722
"26" "Exmouth to Dampier Shallow_2014" "2014-05-10" -21.3246701341997 115.099209510988 0.0662348556667206 0 0.344209798088798 0.303763574715404 267.264825447031
"27" "Exmouth to Dampier Shallow_2014" "2014-05-09" -21.1448215316551 115.616657916765 0.0803427959292983 0 0.584516046312245 0.499612599512737 190.520411571523
"28" "FNQ_2017_06" "2017-06-15" -9.88232367191456 143.304815690347 0.0815691233385726 0 1.14020217056074 1.09063442276941 190.470134096689
"29" "FNQ_2017_06" "2017-06-20" -10.0087318082664 143.549296221384 0.0781975635262106 0 0.297265751230682 0.291692708049375 113.010841227391
"30" "FNQ_2017_06" "2017-06-14" -9.9494275171018 143.293408628381 0.106680963634939 0 0.271313181407836 0.239215627020518 22.6476867241957
"31" "FNQ_2017_06" "2017-06-10" -11.5644711639558 143.000019456424 0.10760408382514 0 1.86595689069379 1.27183509980871 135.267964881385
"32" "FNQ_2017_06" "2017-06-12" -11.253206899884 142.907517099681 0.0814993279077585 0 0.693659997334663 0.604404865377138 78.1043504990893
"33" "FNQ_2017_06" "2017-06-11" -11.5206865587045 143.007385290148 0.0974737432490944 0 0.391797422889523 0.327428013489035 13.713531773613
"34" "FNQ_2017_06" "2017-06-13" -9.96343306953839 143.388382317669 0.0949382131278996 0 0.216287863729363 0.149176938875934 79.9252963547235
"35" "FNQ_2017_06" "2017-06-18" -10.71676103624 143.96771075118 0.0490797546012267 0 0.291384123422429 0.232759128753335 55.2961354261442
"36" "FNQ_2017_06" "2017-06-07" -12.2444591954023 143.224977586207 0.16747030080237 0 0.629362874008649 0.569864567720536 197.380486302211
"37" "FNQ_2017_06" "2017-06-08" -11.9650430400619 143.266735384353 0.1444123507667 0 0.833436329272942 0.594924314673669 78.1850632795145
"38" "FNQ_2017_06" "2017-06-16" -10.76410908021 143.973182270505 0.0967111058555303 0 0.275720357056926 0.179020544638723 38.8818550999363
"39" "FNQ_2017_06" "2017-06-19" -10.06003635153 143.777880866084 0.0860585197934582 0 0.437068096543669 0.384373982580797 135.229701980819
"40" "FNQ_2017_06" "2017-06-17" -10.7362053291307 143.972101672892 0.0982634476916561 0 0.333332604628872 0.283278351636607 65.3384899940259
"41" "FNQ_2017_06" "2017-06-09" -11.7408872672152 142.973851028758 0.104362462154267 0.064 0.681923692908604 NA NA
"42" "FNQ_2017_11" "2017-11-28" -10.002099949904 143.530748753902 0.0816720817095721 0 0.407994410732783 0.377421485169506 271.167179062939
"43" "FNQ_2017_11" "2017-11-29" -10.147757060858 143.623581145015 0.167975830815709 0 0.181756098858635 0.161828340614372 70.6608138498435
"44" "FNQ_2017_11" "2017-12-04" -12.2463558196497 143.214865093949 0.0740496823452833 0 0.318048317992108 0.279199570475065 88.2864121001681
"45" "FNQ_2017_11" "2017-12-05" -12.2521318072435 143.242499484549 0.0783567269427792 0 0.529942666449912 0.455291218223998 137.305655056944
"46" "FNQ_2017_11" "2017-12-06" -13.5037776714835 143.733723972527 0.106829953577394 0 0.438820948328967 0.247001492114164 33.367365226725
"47" "FNQ_2017_11" "2017-12-01" -11.4545560126781 143.043292096296 0.0441177328575306 0 0.72818051315241 0.572691672716211 271.167959353767
"48" "FNQ_2017_11" "2017-12-02" -11.5400802157633 143.027649559533 0.0529145992935848 0 0.744248502903091 0.552717148819546 143.113506512864
"49" "FNQ_2017_11" "2017-12-03" -11.5994210264602 142.940515678693 0.105247977105527 0 0.580610724390532 0.360753351636077 54.9915101937949
"50" "FNQ_2017_11" "2017-11-30" -10.1904187321646 143.676284461669 0.0711277805244769 0 0.291292739390393 0.219181456644339 54.992551831541
"51" "FNQ_2018" "2018-04-27" -12.2422727252078 143.206859800978 0.101273782660775 0 0.269726367435716 0.26920631785066 71.0795587597518
"52" "FNQ_2018" "2018-04-17" -13.9865808863815 143.986672188948 0.10589873144349 0 0.547511528021058 0.400075824629599 56.0879125919148
"53" "FNQ_2018" "2018-04-25" -11.5978173702214 142.938122324009 0.0547785547785546 0 0.414192709588885 0.372011280685552 44.6119570171734
"54" "FNQ_2018" "2018-04-29" -13.5126770981573 143.719251294181 0.101014340498174 0 0.601636411204105 0.546127825386044 74.2797432557726
"55" "FNQ_2018" "2018-04-20" -13.3833963194028 143.69585579173 0.0858697055969678 0 0.552975527808371 0.530168854402504 144.808760307244
"56" "FNQ_2018" "2018-04-23" -11.5490119798348 142.997596689018 0.0672134857500458 0 0.709416689168254 0.499870419420116 56.5047449404245
"57" "FNQ_2018" "2018-04-28" -12.2466990181458 143.274646233221 0.119819690431733 0 0.459380599775258 0.356041608307349 66.4184510907789
"58" "FNQ_2018" "2018-05-01" -13.6452434289986 143.733365912378 0.0926026991923626 0 0.498520071838676 0.478822405512965 84.7240083433373
"59" "FNQ_2018" "2018-04-24" -11.48480684158 143.028095680667 0.0705335930816971 0 0.511374304468802 0.291945889548398 95.4483988331845
"60" "FNQ_2018" "2018-04-18" -13.5003977829142 143.739232112808 0.0454386981393605 0 0.463757270369584 0.445304754719892 182.187433608024
"61" "FNQ_2018" "2018-04-22" -13.5121471206321 143.721419457336 0.0731796730486112 0 0.806288250033951 0.497017535096782 61.4204411148849
"62" "FNQ_2018" "2018-04-19" -13.5386672690385 143.755131048077 0.0768419627027019 0 0.2595926174318 0.25750456092777 14.584420462198
"63" "FNQ_2018" "2018-04-26" -12.2265391300957 143.271473636364 0.0659177120654905 0 0.731610061723785 0.548732577275281 305.359391196018
"64" "FNQ_2018" "2018-05-03" -14.0404400610625 143.942474810625 0.0731228410076524 0 0.382054306569216 0.241839667413512 70.6507269758049
"65" "FNQ_2018" "2018-04-30" -13.5315775575 143.77034121978 0.0609617366095047 0 0.854561178327444 0.53560694943676 71.3737819789797
"66" "FNQ_2018" "2018-04-15" -14.0668947452257 144.014800097127 0.0667175515371524 0 0.765147593960705 0.538442334396137 72.8597080614422
"67" "FNQ_2018" "2018-04-21" -12.2468997547834 143.233784160237 0.0397415830593151 0 0.781415891779382 0.763836947505816 84.7753207984386
