"Exped" "Date" "mean_lat" "mean_long" "betaslope" "betaslope_ci_inf" "betaslope_ci_sup" "BRUVS_number"
"52" "FNQ_2018" "2018-04-17" -13.9865808863815 143.986672188948 -0.952208552734951 -0.967128552734951 -0.937218552734951 18
"53" "FNQ_2018" "2018-04-25" -11.5978173702214 142.938122324009 -0.991567705834415 -1.00909770583442 -0.974017705834415 18
"54" "FNQ_2018" "2018-04-29" -13.5126770981573 143.719251294181 -1.06300755209178 -1.08231755209178 -1.04380755209178 19
"55" "FNQ_2018" "2018-04-20" -13.3833963194028 143.69585579173 -1.00472356461776 -1.02330356461776 -0.986153564617759 10
"56" "FNQ_2018" "2018-04-23" -11.5490119798348 142.997596689018 -0.964673453251448 -0.980573453251449 -0.948713453251448 20
"57" "FNQ_2018" "2018-04-28" -12.2466990181458 143.274646233221 -0.998641101807749 -1.00986110180775 -0.987421101807749 18
"58" "FNQ_2018" "2018-05-01" -13.6452434289986 143.733365912378 -1.03961804703943 -1.06036804703943 -1.01895804703943 18
"59" "FNQ_2018" "2018-04-24" -11.48480684158 143.028095680667 -0.995028514344345 -1.00758851434434 -0.982468514344345 17
"60" "FNQ_2018" "2018-04-18" -13.5003977829142 143.739232112808 -1.04283637801626 -1.05810637801626 -1.02764637801626 19
"61" "FNQ_2018" "2018-04-22" -13.5121471206321 143.721419457336 -1.0680933591612 -1.0970733591612 -1.0393433591612 19
"62" "FNQ_2018" "2018-04-19" -13.5386672690385 143.755131048077 -1.02985898129515 -1.06357898129515 -0.996248981295153 13
"63" "FNQ_2018" "2018-04-26" -12.2265391300957 143.271473636364 -1.05821306270668 -1.06903306270668 -1.04743306270668 17
"64" "FNQ_2018" "2018-05-03" -14.0404400610625 143.942474810625 -1.07793086070921 -1.09002086070921 -1.06592086070921 19
"65" "FNQ_2018" "2018-04-30" -13.5315775575 143.77034121978 -1.00500784852164 -1.03604784852164 -0.973987848521641 18
"66" "FNQ_2018" "2018-04-15" -14.0668947452257 144.014800097127 -0.994831199043075 -1.01287119904307 -0.976781199043074 19
"67" "FNQ_2018" "2018-04-21" -12.2468997547834 143.233784160237 -1.02300652942489 -1.03604652942489 -1.00998652942489 19
"68" "FNQ_2018" "2018-05-02" -13.5118346835294 143.716562114706 -1.02824231532242 -1.05911231532242 -0.99751231532242 18
"69" "FNQ_2018" "2018-04-14" -14.4026729864576 144.906878688525 -1.05121765321913 -1.06322765321913 -1.03926765321913 19
"70" "FNQ_2018" "2018-04-16" -13.9103884579638 143.907622782805 -1.07932425214681 -1.11709425214681 -1.04211425214681 16
"71" "French Polynesia_2017" "2017-07-04" -14.0766640796495 125.68130305258 -1.02075249362579 -1.03695249362579 -1.00458249362579 18
"72" "French Polynesia_2017" "2017-07-03" -13.930249004837 125.63141888963 -0.993560168303501 -1.0090101683035 -0.9781001683035 15
"73" "French Polynesia_2017" "2017-07-05" -13.8641954662123 125.818029849075 -1.02892859303786 -1.04608859303786 -1.01181859303786 17
"74" "French Polynesia_2017" "2017-07-13" -13.8686154842919 125.757095376906 -1.12101436400897 -1.15072436400897 -1.09172436400897 15
"75" "French Polynesia_2017" "2017-07-12" -13.5780470717347 125.957120251701 -1.14077732423545 -1.18019732423545 -1.10212732423545 9
"76" "French Polynesia_2017" "2017-07-06" -13.8125995825884 125.828271138573 -1.07684596171226 -1.09721596171226 -1.05662596171226 18
"77" "French Polynesia_2017" "2017-07-23" -15.5537430249764 123.16299867217 -0.948003339995964 -0.981533339995964 -0.914283339995964 15
"78" "French Polynesia_2017" "2017-07-01" -13.9367584165772 125.723319827181 -1.06161174629076 -1.08478174629076 -1.03860174629076 15
"79" "French Polynesia_2017" "2017-06-30" -13.814742740365 125.784826233577 -0.992752283602826 -1.03526228360283 -0.950202283602825 13
"81" "Jurien East_2007" "2007-05-12" -30.3345445779449 114.953767940536 -1.00302435437281 -1.01685435437281 -0.989204354372814 32
"82" "Jurien East_2007" "2007-05-09" -30.289261490567 114.690921261456 -0.98432323267156 -0.99870323267156 -0.96992323267156 34
"83" "Jurien East_2007" "2007-05-08" -30.3434570379205 114.818464676902 -1.06688603004926 -1.08038603004926 -1.05345603004926 31
"84" "Jurien East_2007" "2007-05-13" -30.3413516561361 114.901292408682 -1.20876348643424 -1.22573348643424 -1.19196348643424 30
"85" "Mackerel Islands Shallow_2015" "2015-09-05" -21.5989240143369 114.720615412186 -0.997551877474989 -1.03855187747499 -0.956541877474989 5
"86" "Mackerel Islands Shallow_2015" "2015-09-06" -21.5566727311828 115.059094451613 -1.05243158538109 -1.06740158538109 -1.03750158538109 30
"87" "Mackerel Islands Shallow_2015" "2015-09-07" -21.4252464114833 115.141331020734 -1.10275025974517 -1.11956025974517 -1.08607025974517 18
