"Exped" "Date" "mean lat" "mean long" "beta_slope" "inf CI" "sup CI" "String Number"
"Ascension Gov 2017" "2017-01-23" -8.83227834782609 -11.08132 -1.29666316916562 -1.36496316916562 -1.23336316916562 2
"Ascension Gov 2017" "2017-01-25" -8.43839692307692 -12.9618536538462 -1.2640882455906 -1.3268882455906 -1.2062882455906 2
"Ascension Gov 2017" "2017-05-19" -8.43473761904762 -17.150999047619 -1.05519795140017 -1.15479795140017 -0.959707951400169 3
"Ascension Gov 2017" "2017-05-27" -9.73927938547486 -12.828853575419 -0.758746339469405 -0.789346339469404 -0.726866339469404 3
"Ascension Gov 2017" "2017-05-28" -9.7355602745098 -12.8106971764706 -0.711361350587364 -0.750701350587364 -0.669731350587364 3
"Ascension Gov 2017" "2017-06-04" -9.76072992307692 -12.0581916153846 -0.715221109818158 -0.771091109818158 -0.655031109818158 3
"Ascension Gov 2017" "2017-01-24" -7.08489458333333 -11.170571875 -1.23606394250504 -1.33098394250504 -1.15011394250504 2
"Ascension Gov 2017" "2017-01-28" -9.67496432098765 -15.2248083950617 -1.13057932056674 -1.18371932056674 -1.08012932056674 2
"Ascension Gov 2017" "2017-01-31" -7.81267833333333 -14.3813213888889 -1.17046426186496 -1.38336426186496 -0.964984261864958 1
"Ascension Gov 2017" "2017-05-29" -9.7546982278481 -12.1172306329114 -0.639645664309859 -0.731185664309859 -0.539235664309859 3
"Ascension Gov 2017" "2017-01-27" -10.8637478571429 -13.0620314285714 -1.19485948484683 -1.26090948484683 -1.13382948484683 2
"Ascension Gov 2017" "2017-05-21" -8.4364821875 -16.9263465625 -1.06701241906924 -1.15248241906924 -0.984822419069242 3
"Ascension Gov 2017" "2017-02-07" -7.67530071428571 -14.3909485714286 -1.09914392376388 -1.18431392376388 -1.01773392376388 1
"Ascension Gov 2017" "2017-06-03" -9.7638603125 -11.93749625 -0.996419964598393 -1.07620996459839 -0.916459964598394 2
"Ascension Gov 2017" "2017-01-29" -8.31981688888889 -14.7941668888889 -1.24656332193315 -1.33818332193315 -1.16567332193315 2
